0,98.20441989,59,60
0,96.54696133,58,60
0,96.54696133,58,60
0,93.2320442,56,60
0,100,60,60
0,96.54696133,58,60
0,96.54696133,58,60
0,100,60,60
0,95.71823204,57,60
0,96.40883978,58,60
0,96.54696133,58,60
0,98.20441989,59,60
0.1,91.71270718,55,60
0.1,95.02762431,57,60
0.1,90.05524862,54,60
0.1,95.02762431,57,60
0.1,89.91712707,54,60
0.1,96.54696133,58,60
0.1,100,60,60
0.1,90.05524862,54,60
0.1,93.37016575,56,60
0.1,91.57458564,55,60
0.1,94.88950276,57,60
0.1,91.71270718,55,60
0.75,90.05524862,54,60
0.75,95.02762431,57,60
0.75,88.39779006,53,60
0.75,86.74033149,52,60
0.75,93.2320442,56,60
0.75,96.68508287,58,60
0.75,88.39779006,53,60
0.75,79.97237569,48,60
0.75,84.94475138,51,60
0.75,88.39779006,53,60
0.75,95.02762431,57,60
0.75,90.05524862,54,60
2,90.05524862,54,60
2,96.54696133,58,60
2,90.05524862,54,60
2,95.02762431,57,60
2,100,60,60
2,88.25966851,53,60
2,88.25966851,53,60
2,100,60,60
2,95.02762431,57,60
2,89.91712707,54,60
2,96.68508287,58,60
2,89.91712707,54,60
4,75,45,60
4,84.94475138,51,60
4,84.94475138,51,60
4,81.62983425,49,60
4,75,45,60
4,96.54696133,58,60
4,88.12154696,53,60
4,84.94475138,51,60
4,81.62983425,49,60
4,75,45,60
4,84.94475138,51,60
4,75,45,60
6,0,0,60
6,0,0,60
6,0,0,60
6,0,0,60
6,0,0,60
6,0,0,60
6,0,0,60
6,0,0,60
6,0,0,60
6,0,0,60
6,0,0,60
6,0,0,60
