"","alg_est","alg_lower","alg_upper","fung_est","fung_lower","fung_upper","herb_est","herb_lower","herb_upper","ins_est","ins_lower","ins_upper","IMPUTATION_ROUND"
"1",0.0910789914337229,-2.01498398456859,2.19714196743604,0.0199198511174639,-1.21168646506009,1.25152616729502,-1.0943169116141,-1.43017657580233,-0.758457247425868,-0.123449340206531,-0.493114347110063,0.246215666697001,1
"2",0.0687764140996147,-2.03461446735508,2.17216729555431,0.0201317344768669,-1.20982774842835,1.25009121738208,-1.09350860092709,-1.42902576944848,-0.7579914324057,-0.123636947784708,-0.492695430997483,0.245421535428067,2
"3",0.0700092161068646,-2.03491841290505,2.17493684511878,0.0196891438954207,-1.20906258805229,1.24844087584313,-1.09245839932797,-1.42794901431578,-0.756967784340171,-0.124171936354204,-0.493077676599611,0.244733803891204,3
"4",0.0763429136711215,-2.03220134317721,2.18488717051945,0.0199357516082224,-1.21190083247015,1.2517723356866,-1.09568243639951,-1.4318407279108,-0.759524144888218,-0.122589087666508,-0.492378875673427,0.247200700340411,4
"5",0.0807830468479858,-2.01968365668612,2.18124975038209,0.0208404045413298,-1.21060117646707,1.25228198554973,-1.08982378954027,-1.42517891908519,-0.754468659995353,-0.122904652276953,-0.491981138794291,0.246171834240384,5
"6",0.0525834987914475,-2.05804208987275,2.16320908745565,0.0195303108525289,-1.21396087947947,1.25302150118453,-1.0944222437886,-1.43079615066276,-0.758048336914439,-0.123962758276807,-0.494072755415766,0.246147238862152,6
"7",0.0126771648209378,-2.09545560469269,2.12080993433457,0.0196032121597527,-1.20985434883835,1.24906077315785,-1.09265898798312,-1.42821685795931,-0.757101118006936,-0.124168359708786,-0.493281411231857,0.244944691814286,7
"8",0.0958033476037974,-2.01618214708815,2.20778884229575,0.0190771845081605,-1.21397968302388,1.25213405204021,-1.09532112188244,-1.43157192141209,-0.759070322352785,-0.124473315535934,-0.494669452122563,0.245722821050695,8
"9",0.0833291923632066,-2.01841290125193,2.18507128597834,0.0199964849709358,-1.2051448329078,1.24513780284967,-1.08990392322789,-1.42448404440974,-0.755323802046041,-0.122980497930981,-0.491088924119967,0.245127928258004,9
"10",0.0385246647752459,-2.07667918512809,2.15372851467858,0.0195234524057122,-1.21574946090913,1.25479636572056,-1.10119392295696,-1.43878818998099,-0.763599655932939,-0.122823104655809,-0.493698599324593,0.248052390012976,10
"11",-0.0241491018970363,-2.12479700247515,2.07649879868107,0.0212407104749656,-1.20865544197897,1.2511368629289,-1.09315508347225,-1.42826551124161,-0.75804465570289,-0.12240977520298,-0.491013720496355,0.246194170090395,11
"12",0.0163201680131563,-2.08238183586389,2.11502217189021,0.0204038563226068,-1.20488650180908,1.24569421445429,-1.08805423163768,-1.4221663733821,-0.753942089893269,-0.124319081218252,-0.491958468427322,0.243320305990818,12
"13",0.100581071337695,-2.00745476967065,2.20861691234604,0.0188501966017771,-1.20736635593057,1.24506674913413,-1.09260052368712,-1.42805283211994,-0.757148215254301,-0.124300344152571,-0.493277047414314,0.244676359109171,13
"14",0.0771273350734221,-2.01661909061412,2.17087376076096,0.0225652534183155,-1.20665696221475,1.25178746905138,-1.08848642864267,-1.42279193867319,-0.754180918612154,-0.119057903204565,-0.487414692491024,0.249298886081894,14
"15",0.097794985862271,-2.00812015928029,2.20371013100483,0.0200652644822991,-1.21382913444512,1.25395966340972,-1.0939090116337,-1.4299845331287,-0.7578334901387,-0.123731388713655,-0.493707115053527,0.246244337626217,15
"16",0.0759370685797099,-2.02657087606546,2.17844501322488,0.0209756242745076,-1.20964279008298,1.25159403863199,-1.09082486163432,-1.42597491216708,-0.755674811101561,-0.121300368594944,-0.490497047502753,0.247896310312865,16
"17",0.0692248089979611,-2.04433232836627,2.18278194636219,0.0180779639194245,-1.20917029540394,1.24532622324279,-1.0934194022962,-1.42953443221483,-0.757304372377564,-0.125353049528404,-0.494654029992319,0.243947930935511,17
"18",0.0803158659763468,-2.02452389666386,2.18515562861656,0.0200827555535416,-1.21222329554991,1.252388806657,-1.09738455092023,-1.43396300440306,-0.760806097437405,-0.123981221795933,-0.49351877853579,0.245556334943923,18
"19",0.0806761943693891,-2.01890295911585,2.18025534785463,0.0206779305785299,-1.20956789553135,1.25092375668841,-1.09364175042406,-1.428730241252,-0.758553259596112,-0.123464727618983,-0.492244811142885,0.24531535590492,19
"20",0.096721261041127,-1.9988540590221,2.19229658110435,0.0214232671786736,-1.2074798914697,1.25032642582705,-1.08949727713657,-1.42424873681686,-0.754745817456275,-0.122089136571418,-0.490381681343001,0.246203408200165,20
"21",0.0971362881287033,-2.00534562699924,2.19961820325665,0.0212093941787083,-1.21084415263012,1.25326294098754,-1.095499126277,-1.43140098490473,-0.75959726764926,-0.120491133759455,-0.490003837622516,0.249021570103606,21
"22",0.0936805906951485,-2.01389157521589,2.20125275660619,0.0195064228574835,-1.21042283315704,1.24943567887201,-1.0915136278792,-1.42719080133187,-0.75583645442652,-0.123850504040362,-0.493165468484929,0.245464460404205,22
"23",0.090240296465142,-2.00887967027132,2.18936026320161,0.0209119882376718,-1.2102704363442,1.25209441281954,-1.09063270901689,-1.42583157002481,-0.755433848008981,-0.123085931588017,-0.492161250306449,0.245989387130414,23
"24",0.0941433329257495,-2.01682629490563,2.20511296075713,0.0189122998242885,-1.21176634034345,1.24959093999203,-1.09460275594064,-1.43062559262356,-0.758579919257723,-0.124598522919884,-0.494334894339405,0.245137848499638,24
