"model","algaecide","algaecide lower","algaecide upper","fungicide","fungicide lower","fungicide upper","herbicide","herbicide lower","herbicide upper","insecticide","insecticide lower","insecticide upper"
"final","-0.022","-1.938","1.894","0.051","-1.108","1.21","-0.876","-1.223","-0.529","-0.075","-0.421","0.27"
"adjusted","-0.13","-2.051","1.792","-0.071","-1.253","1.112","-1.132","-1.578","-0.686","-0.203","-0.575","0.17"
